=== Top 30 ops by self CUDA time ===

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        3.752s       100.33%        3.752s     375.213ms            10  
                                                 encode         0.00%       0.000us         0.00%       0.000us       0.000us        1.204s        32.20%        1.204s     120.426ms            10  
                                               aten::mm         0.41%      45.881ms         2.50%     278.243ms     124.772us        1.037s        27.74%        1.037s     465.241us          2230  
                                            aten::addmm         0.18%      20.498ms         0.24%      26.883ms      26.617us     681.763ms        18.23%     681.763ms     675.013us          1010  
                                  ampere_sgemm_64x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     515.292ms        13.78%     515.292ms     844.741us           610  
                    aten::_efficient_attention_backward         0.09%      10.392ms         0.89%      99.484ms     552.689us     472.127ms        12.62%     548.934ms       3.050ms           180  
fmha_cutlassB_f32_aligned_64x64_k64_sm80(PyTorchMemE...         0.00%       0.000us         0.00%       0.000us       0.000us     460.324ms        12.31%     460.324ms       3.836ms           120  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     273.674ms         7.32%     273.674ms     263.148us          1040  
                                  ampere_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     250.944ms         6.71%     250.944ms     522.799us           480  
                                    aten::gelu_backward         0.02%       2.427ms         0.15%      16.819ms      84.095us     210.221ms         5.62%     210.221ms       1.051ms           200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     210.221ms         5.62%     210.221ms       1.051ms           200  
                       aten::native_layer_norm_backward         0.14%      15.343ms         1.73%     192.291ms     384.582us     202.214ms         5.41%     207.617ms     415.235us           500  
                                              aten::sum         0.40%      44.356ms         2.92%     325.091ms     184.711us     201.499ms         5.39%     201.499ms     114.488us          1760  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     180.114ms         4.82%     180.114ms     115.458us          1560  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     179.268ms         4.79%     179.268ms     365.853us           490  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us     178.709ms         4.78%     178.709ms       1.375ms           130  
                     aten::_efficient_attention_forward         0.02%       2.503ms         0.05%       5.647ms      31.370us     177.366ms         4.74%     177.366ms     985.367us           180  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us     177.366ms         4.74%     177.366ms     985.367us           180  
